ServiceDescriptor;ServiceDescriptor._implementationType;ServiceDescriptor._implementationInstance;ServiceDescriptor._implementationFactory;ServiceDescriptor.Lifetime;ServiceDescriptor.ServiceKey;ServiceDescriptor.ServiceType;ServiceDescriptor.ImplementationType;ServiceDescriptor.KeyedImplementationType;ServiceDescriptor.ImplementationInstance;ServiceDescriptor.KeyedImplementationInstance;ServiceDescriptor.ImplementationFactory;ServiceDescriptor.KeyedImplementationFactory;ServiceDescriptor.IsKeyedService
"ServiceType: Microsoft.AspNetCore.Authorization.IAuthorizationHandler Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.Infrastructure.PassThroughAuthorizationHandler";Microsoft.AspNetCore.Authorization.Infrastructure.PassThroughAuthorizationHandler;"";"";Transient;"";Microsoft.AspNetCore.Authorization.IAuthorizationHandler;Microsoft.AspNetCore.Authorization.Infrastructure.PassThroughAuthorizationHandler;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.IAuthorizationHandlerContextFactory Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.DefaultAuthorizationHandlerContextFactory";Microsoft.AspNetCore.Authorization.DefaultAuthorizationHandlerContextFactory;"";"";Transient;"";Microsoft.AspNetCore.Authorization.IAuthorizationHandlerContextFactory;Microsoft.AspNetCore.Authorization.DefaultAuthorizationHandlerContextFactory;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.IAuthorizationHandlerProvider Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.DefaultAuthorizationHandlerProvider";Microsoft.AspNetCore.Authorization.DefaultAuthorizationHandlerProvider;"";"";Transient;"";Microsoft.AspNetCore.Authorization.IAuthorizationHandlerProvider;Microsoft.AspNetCore.Authorization.DefaultAuthorizationHandlerProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.IAuthorizationMiddlewareResultHandler Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.Policy.AuthorizationMiddlewareResultHandler";Microsoft.AspNetCore.Authorization.Policy.AuthorizationMiddlewareResultHandler;"";"";Transient;"";Microsoft.AspNetCore.Authorization.IAuthorizationMiddlewareResultHandler;Microsoft.AspNetCore.Authorization.Policy.AuthorizationMiddlewareResultHandler;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.IAuthorizationPolicyProvider Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.DefaultAuthorizationPolicyProvider";Microsoft.AspNetCore.Authorization.DefaultAuthorizationPolicyProvider;"";"";Transient;"";Microsoft.AspNetCore.Authorization.IAuthorizationPolicyProvider;Microsoft.AspNetCore.Authorization.DefaultAuthorizationPolicyProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.IAuthorizationService Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.DefaultAuthorizationService";Microsoft.AspNetCore.Authorization.DefaultAuthorizationService;"";"";Transient;"";Microsoft.AspNetCore.Authorization.IAuthorizationService;Microsoft.AspNetCore.Authorization.DefaultAuthorizationService;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyCache Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyCache";Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyCache;"";"";Singleton;"";Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyCache;Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyCache;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyMarkerService Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyMarkerService";Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyMarkerService;"";"";Singleton;"";Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyMarkerService;Microsoft.AspNetCore.Authorization.Policy.AuthorizationPolicyMarkerService;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authorization.Policy.IPolicyEvaluator Lifetime: Transient ImplementationType: Microsoft.AspNetCore.Authorization.Policy.PolicyEvaluator";Microsoft.AspNetCore.Authorization.Policy.PolicyEvaluator;"";"";Transient;"";Microsoft.AspNetCore.Authorization.Policy.IPolicyEvaluator;Microsoft.AspNetCore.Authorization.Policy.PolicyEvaluator;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Authorization.AuthenticationStateProvider Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Server.ServerAuthenticationStateProvider";Microsoft.AspNetCore.Components.Server.ServerAuthenticationStateProvider;"";"";Scoped;"";Microsoft.AspNetCore.Components.Authorization.AuthenticationStateProvider;Microsoft.AspNetCore.Components.Server.ServerAuthenticationStateProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
